TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-04,2026-09-04,CM,NSE,STK,11536,INE467B01029,TCS,EQ,4020.00,4180.00,4010.00,4150.00,4155.00,3980.00,4150.00,4150.00,0,0,2800000,11620000000,165000,Regular,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,2885,INE002A01018,RELIANCE,EQ,3010.00,3025.00,2980.00,2990.00,2992.00,3020.00,2990.00,2990.00,0,0,3400000,10166000000,132000,Regular,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,1594,INE009A01021,INFY,EQ,1835.00,1840.00,1785.00,1795.00,1798.00,1840.00,1795.00,1795.00,0,0,2700000,4846500000,105000,Regular,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,1333,INE040A01034,HDFCBANK,EQ,1672.00,1690.00,1670.00,1680.00,1682.00,1670.00,1680.00,1680.00,0,0,4400000,7392000000,135000,Regular,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,3045,INE062A01020,SBIN,EQ,823.00,830.00,820.00,825.00,826.00,822.00,825.00,825.00,0,0,5300000,4372500000,152000,Regular,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,4963,INE090A01021,ICICIBANK,EQ,1252.00,1265.00,1248.00,1255.00,1258.00,1250.00,1255.00,1255.00,0,0,4200000,5271000000,122000,Regular,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,1552,INE155A01022,TATAMOTORS,EQ,980.00,1035.00,975.00,1025.00,1028.00,975.00,1025.00,1025.00,0,0,5800000,5945000000,162000,Regular,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,3972,INE397D01024,BHARTIARTL,EQ,1572.00,1595.00,1568.00,1585.00,1588.00,1570.00,1585.00,1585.00,0,0,2100000,3328500000,88000,Regular,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,1542,INE154A01025,ITC,EQ,489.00,495.00,488.00,492.00,493.00,490.00,492.00,492.00,0,0,5500000,2706000000,112000,Regular,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,7522,INE075A01022,WIPRO,EQ,517.00,523.00,516.00,521.00,522.00,518.00,521.00,521.00,0,0,2100000,1094100000,67000,Regular,1,,,,,
2026-09-04,2026-09-04,CM,NSE,STK,1822,INE018A01030,LT,EQ,3635.00,3665.00,3625.00,3650.00,3652.00,3620.00,3650.00,3650.00,0,0,1250000,4562500000,59000,Regular,1,,,,,
